North Avenue (Blue),954.0,954.0,
Brown Dorm,906.0,882.0,
Techwood Dr & 3rd St,906.0,786.0,
4th Street Houses,906.0,738.0,
Techwood & 5th SE Corner,906.0,522.0,
Russ Chandler Stadium,715.0,450.0,
Klaus Building WB,593.0,354.0,
Nanotechnology,475.0,283.0,
Kendeda Building,403.0,271.0,
Paper Tricentennial,67.0,140.0,
West Village,67.0,379.0,
8th St & Hemphill Ave,211.0,379.0,
Couch Park,283.0,522.0,
CRC & Stamps Health,296.0,715.0,
Ferst Dr & Student Center,450.0,786.0,
HUB/Tech Parkway PATH,593.0,845.0,
Ferst Dr & Cherry St,642.0,882.0,
Fitten Hall,80.0,499.0,
West Village,67.0,379.0,
8th St & Hemphill Ave,211.0,379.0,
Ferst Dr & Hemphill Ave,330.0,283.0,
Cherry Emerson,522.0,307.0,
Klaus Building EB,607.0,415.0,
Ferst Dr & Fowler,738.0,475.0,
Techwood & 5th SW Corner,929.0,522.0,
Techwood Dr & 4th St,929.0,738.0,
Techwood Dr & Bobby Dodd Way,929.0,786.0,
Wardlaw Building,929.0,882.0,
North Avenue (Red),954.0,977.0,
Tech Tower,642.0,869.0,
HUB/Weber Building,593.0,833.0,
Student Center,450.0,774.0,
ISyE & Instruction Center,320.0,715.0,
Transit HUB,582.0,786.0,
Student Center,450.0,774.0,
ISyE & Instruction Center,320.0,715.0,
Ferst Dr & Hemphill Ave,330.0,283.0,
Cherry Emerson,522.0,307.0,
Klaus Building EB,607.0,415.0,
Ferst Dr & Fowler,738.0,475.0,
5th Street Bridge EB,954.0,499.0,
Technology Square EB,1312.0,499.0,
College of Business,1433.0,499.0,
Academy of Medicine,1469.0,354.0,
MARTA Midtown Station,1671.0,115.0,
Technology Square WB,1312.0,475.0,
5th Street Bridge WB,1001.0,475.0,
Russ Chandler Stadium,715.0,450.0,
Klaus Building WB,593.0,354.0,
Nanotechnology,475.0,283.0,
Kendeda Building,403.0,271.0,
Couch Park,283.0,522.0,
CRC & Stamps Health,296.0,715.0,
Ferst Dr & Student Center,642.0,882.0,
